% Model:              quadripolo.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 2 2020, 16:01
% Dimension:          1
% Nodes:              153
% Expressions:        1
% Description:        Global
% x                       Height
9.2E10                    -3.175144522057937
9.21E10                   -3.0673298815809953
9.22E10                   -2.9716690689350016
9.23E10                   -2.8849850394107515
9.24E10                   -2.8046888693914185
9.25E10                   -2.728788279029461
9.26E10                   -2.6558612130332837
9.27E10                   -2.585005312598275
9.28E10                   -2.5157719725716197
9.29E10                   -2.448091537328079
9.3E10                    -2.382194470213062
9.31E10                   -2.3185321582680367
9.32E10                   -2.257700322288056
9.33E10                   -2.2003676323527883
9.34E10                   -2.1472118923291266
9.35E10                   -2.098865883858886
9.36E10                   -2.055874533685577
9.37E10                   -2.0186644421021986
9.38E10                   -1.9875260143177282
9.39E10                   -1.9626075617698215
9.4E10                    -1.9439199117756891
9.41E10                   -1.9313494052975515
9.42E10                   -1.924676765147286
9.43E10                   -1.9235992193024212
9.44E10                   -1.9277534486537218
9.45E10                   -1.936737333001254
9.46E10                   -1.9501290060163432
9.47E10                   -1.9675023083172545
9.48E10                   -1.9884382705478494
9.49E10                   -2.0125327115739067
9.5E10                    -2.0394003724170444
9.51E10                   -2.0686762185683896
9.52E10                   -2.1000146424260917
9.53E10                   -2.133087304097153
9.54E10                   -2.1675802869132763
9.55E10                   -2.2031911378254736
9.56E10                   -2.2396262336546187
9.57E10                   -2.2765987792625095
9.58E10                   -2.3138276159684796
9.59E10                   -2.3510369066816676
9.6E10                    -2.3879566732863786
9.61E10                   -2.424324093784353
9.62E10                   -2.4598854211802683
9.63E10                   -2.4943983610019482
9.64E10                   -2.5276347364824914
9.65E10                   -2.559383276071997
9.66E10                   -2.5894523732559973
9.67E10                   -2.6176726900675122
9.68E10                   -2.643899500103133
9.69E10                   -2.668014691819895
9.7E10                    -2.6899283766020874

9.2E10                    -6.606155303123399
9.21E10                   -6.935139258074965
9.22E10                   -7.235914260620351
9.23E10                   -7.515209483992123
9.24E10                   -7.781928716464716
9.25E10                   -8.046090610494781
9.26E10                   -8.317969614112098
9.27E10                   -8.607531333988051
9.28E10                   -8.924156691193224
9.29E10                   -9.27659752854484
9.3E10                    -9.673096670749906
9.31E10                   -10.121620510721277
9.32E10                   -10.630176989487257
9.33E10                   -11.207218421391374
9.34E10                   -11.86215555569397
9.35E10                   -12.606039913509761
9.36E10                   -13.45251332179377
9.37E10                   -14.419189586165771
9.38E10                   -15.529744282769746
9.39E10                   -16.817172182914703
9.4E10                    -18.32891936356008
9.41E10                   -20.134539624807346
9.42E10                   -22.333188328207466
9.43E10                   -25.029836240682627
9.44E10                   -28.04764456154586
9.45E10                   -29.620892641547286
9.46E10                   -27.77751669784712
9.47E10                   -24.88177852898196
9.48E10                   -22.37791711526437
9.49E10                   -20.353166829771446
9.5E10                    -18.695225739351784
9.51E10                   -17.307055311361875
9.52E10                   -16.120932243119753
9.53E10                   -15.090364760956588
9.54E10                   -14.182833208982062
9.55E10                   -13.375015772107027
9.56E10                   -12.649776381477423
9.57E10                   -11.994244288518537
9.58E10                   -11.398560288360656
9.59E10                   -10.855036787773837
9.6E10                    -10.357581366797035
9.61E10                   -9.901292672544288
9.62E10                   -9.48217192938104
9.63E10                   -9.09691380219612
9.64E10                   -8.742752799348407
9.65E10                   -8.41734918420802
9.66E10                   -8.11870336043198
9.67E10                   -7.845090987750103
9.68E10                   -7.595013307004701
9.69E10                   -7.367158686629408
9.7E10                    -7.160372481994384

9.2E10                    -9.850860571485837
9.21E10                   -10.113449274081596
9.22E10                   -10.40704475402578
9.23E10                   -10.72972505780167
9.24E10                   -11.080097727871978
9.25E10                   -11.457285711370734
9.26E10                   -11.860867655421227
9.27E10                   -12.290780444828542
9.28E10                   -12.747187979329052
9.29E10                   -13.230315599444678
9.3E10                    -13.740244574337073
9.31E10                   -14.276655821503716
9.32E10                   -14.838506922185125
9.33E10                   -15.42362278468369
9.34E10                   -16.02818119813974
9.35E10                   -16.64608680604751
9.36E10                   -17.26826286270197
9.37E10                   -17.881966689649545
9.38E10                   -18.47036555864681
9.39E10                   -19.012777116945298
9.4E10                    -19.486084005011787
9.41E10                   -19.867668423434143
9.42E10                   -20.139578508272532
9.43E10                   -20.292678963947004
9.44E10                   -20.32897767954074
9.45E10                   -20.260936386358544
9.46E10                   -20.10814164621937
9.47E10                   -19.89296788358858
9.48E10                   -19.636897377792042
9.49E10                   -19.35830481851166
9.5E10                    -19.071645540255027
9.51E10                   -18.787576896804303
9.52E10                   -18.513530713232495
9.53E10                   -18.2544080310565
9.54E10                   -18.013224881833423
9.55E10                   -17.791644176292685
9.56E10                   -17.590385341192395
9.57E10                   -17.409527240311217
9.58E10                   -17.24872648356701
9.59E10                   -17.107372105373486
9.6E10                    -16.984693850857283
9.61E10                   -16.879837248692986
9.62E10                   -16.791915139139352
9.63E10                   -16.72004257378702
9.64E10                   -16.663359954530886
9.65E10                   -16.621047799053542
9.66E10                   -16.592335469763906
9.67E10                   -16.576505465872224
9.68E10                   -16.572894363694004
9.69E10                   -16.580891132170624
9.7E10                    -16.59993330153768
