% Model:              dipolo.mph
% Version:            COMSOL 5.5.0.292
% Date:               May 14 2020, 14:07
% Dimension:          1
% Nodes:              153
% Expressions:        1
% Description:        Global
% x                       Height
9.2E10                    -3.270000546696256
9.21E10                   -3.0940808115323515
9.22E10                   -2.942763176047993
9.23E10                   -2.8116554502358553
9.24E10                   -2.696976776695348
9.25E10                   -2.595607168154062
9.26E10                   -2.5050783652672806
9.27E10                   -2.423523405385693
9.28E10                   -2.3496005134984714
9.29E10                   -2.2824038998071834
9.3E10                    -2.221370919451192
9.31E10                   -2.1661923619537453
9.32E10                   -2.116730526419141
9.33E10                   -2.0729481264993646
9.34E10                   -2.034849810559728
9.35E10                   -2.002437046567423
9.36E10                   -1.975676229584864
9.37E10                   -1.9544791003198885
9.38E10                   -1.9386939347072012
9.39E10                   -1.9281055126399116
9.4E10                    -1.922441628404754
9.41E10                   -1.9213838740648712
9.42E10                   -1.924580590531186
9.43E10                   -1.9316601961475568
9.44E10                   -1.9422435119361412
9.45E10                   -1.9559541463561234
9.46E10                   -1.972426428117517
9.47E10                   -1.9913107446004097
9.48E10                   -2.012276433003814
9.49E10                   -2.035012573460546
9.5E10                    -2.059227151537129
9.51E10                   -2.084645102949973
9.52E10                   -2.1110057411298517
9.53E10                   -2.138060014699696
9.54E10                   -2.165567962343305
9.55E10                   -2.193296640237026
9.56E10                   -2.2210187028879353
9.57E10                   -2.2485117298702506
9.58E10                   -2.2755583140140936
9.59E10                   -2.301946864242143
9.6E10                    -2.327473029733044
9.61E10                   -2.3519416211533857
9.62E10                   -2.375168887979919
9.63E10                   -2.3969850063108766
9.64E10                   -2.4172366365569276
9.65E10                   -2.4357894224154806
9.66E10                   -2.4525303191306898
9.67E10                   -2.4673696581003384
9.68E10                   -2.4802428746898624
9.69E10                   -2.491111845391831
9.7E10                    -2.4999657983940176

9.2E10                    -6.3269915505682775
9.21E10                   -6.6269915505682775
9.22E10                   -7.070437091364623
9.23E10                   -7.4815979758344575
9.24E10                   -7.8640688438214665
9.25E10                   -8.225291044706973
9.26E10                   -8.575275973205347
9.27E10                   -8.925304579830389
9.28E10                   -9.286888772170169
9.29E10                   -9.671114417885404
9.3E10                    -10.088352999605043
9.31E10                   -10.548264103450144
9.32E10                   -11.060003123230535
9.33E10                   -11.632572046734651
9.34E10                   -12.27528523063609
9.35E10                   -12.99835645841867
9.36E10                   -13.81364611821544
9.37E10                   -14.735638842926734
9.38E10                   -15.78274817796399
9.39E10                   -16.979033456405197
9.4E10                    -18.356216611370158
9.41E10                   -19.954871800262243
9.42E10                   -22.019114654876405
9.43E10                   -24.45946069775812
9.44E10                   -26.65619447089191
9.45E10                   -27.768675825107446
9.46E10                   -26.65619447089191
9.47E10                   -25.069002182131428
9.48E10                   -23.27333097378525
9.49E10                   -21.395849139542236
9.5E10                    -19.78910284298708
9.51E10                   -18.414925838856725
9.52E10                   -17.227434703496737
9.53E10                   -16.188848477738382
9.54E10                   -15.270346745974393
9.55E10                   -14.450255716757603
9.56E10                   -13.712203264976615
9.57E10                   -13.043690143045616
9.58E10                   -12.435053780702063
9.59E10                   -11.878727509626428
9.6E10                    -11.368709481746638
9.61E10                   -10.900178591450711
9.62E10                   -10.469213877907293
9.63E10                   -10.072587509208217
9.64E10                   -9.70761069539355
9.65E10                   -9.37201808929951
9.66E10                   -9.063880432663362
9.67E10                   -8.781538080716402
9.68E10                   -8.523550041175273
9.69E10                   -8.288654582554285
9.7E10                    -8.075738489037018

9.2E10                    -9.984605786480081
9.21E10                   -10.204681752871076
9.22E10                   -10.457811530931664
9.23E10                   -10.741271424617064
9.24E10                   -11.052984022685235
9.25E10                   -11.391549772245247
9.26E10                   -11.756220666149815
9.27E10                   -12.146830931896535
9.28E10                   -12.563695612397485
9.29E10                   -13.007482915902994
9.3E10                    -13.479060889831047
9.31E10                   -13.979313428212466
9.32E10                   -14.508914563965707
9.33E10                   -15.068043053588768
9.34E10                   -15.6560114329704
9.35E10                   -16.2707762422561
9.36E10                   -16.908293158503383
9.37E10                   -17.56169251395593
9.38E10                   -18.22029756638717
9.39E10                   -18.868622764455317
9.4E10                    -19.48570504847935
9.41E10                   -20.04541862659636
9.42E10                   -20.518622371703394
9.43E10                   -20.877674231126772
9.44E10                   -21.10263564596812
9.45E10                   -21.186806296417316
9.46E10                   -21.138667842538197
9.47E10                   -20.97907942602552
9.48E10                   -20.73539909260702
9.49E10                   -20.43551365829956
9.5E10                    -20.103825901665093
9.51E10                   -19.759561473681114
9.52E10                   -19.41673103398195
9.53E10                   -19.08491159901802
9.54E10                   -18.770256042336378
9.55E10                   -18.476428607895592
9.56E10                   -18.20535908865534
9.57E10                   -17.95780714371826
9.58E10                   -17.733766376874158
9.59E10                   -17.532745834340908
9.6E10                    -17.35396257709551
9.61E10                   -17.1964716908311
9.62E10                   -17.05925306493876
9.63E10                   -16.941268598622
9.64E10                   -16.84149927092118
9.65E10                   -16.758968503712207
9.66E10                   -16.692756155902654
9.67E10                   -16.642006054810828
9.68E10                   -16.6059289978166
9.69E10                   -16.583802499816652
9.7E10                    -16.574968118510863
