% Model:              dipolo.mph
% Version:            COMSOL 5.5.0.292
% Date:               May 16 2020, 21:12
% Dimension:          1
% Nodes:              153
% Expressions:        1
% Description:        Global
% x                       Height
9.2E10                    -3.3514444807488535
9.21E10                   -3.1850651325361623
9.22E10                   -3.043408311611082
9.23E10                   -2.9209174761828196
9.24E10                   -2.8129773544681695
9.25E10                   -2.715933985582912
9.26E10                   -2.627040970291543
9.27E10                   -2.5443606060856503
9.28E10                   -2.466641951429041
9.29E10                   -2.39319113924972
9.3E10                    -2.323743840170283
9.31E10                   -2.25834598329424
9.32E10                   -2.1972464430942127
9.33E10                   -2.140803966538532
9.34E10                   -2.089409722718191
9.35E10                   -2.0434261847387654
9.36E10                   -2.0031424061133993
9.37E10                   -1.9687450597743954
9.38E10                   -1.9403038911159287
9.39E10                   -1.9177695780506476
9.4E10                    -1.9009814867915855
9.41E10                   -1.889682537403001
9.42E10                   -1.8835383808506887
9.43E10                   -1.8821583236463546
9.44E10                   -1.8851158616645092
9.45E10                   -1.8919672232412355
9.46E10                   -1.9022668917909933
9.47E10                   -1.9155796105575793
9.48E10                   -1.9314888183923586
9.49E10                   -1.9496018004952609
9.5E10                    -1.9695520570965839
9.51E10                   -1.9909995062286674
9.52E10                   -2.013629162948124
9.53E10                   -2.0371488990338307
9.54E10                   -2.0612868063574323
9.55E10                   -2.085788583141946
9.56E10                   -2.110415250714776
9.57E10                   -2.1349414005845238
9.58E10                   -2.1591540754101026
9.59E10                   -2.1828523071696093
9.6E10                    -2.2058472734571155
9.61E10                   -2.2279629883130165
9.62E10                   -2.249037415919508
9.63E10                   -2.2689238816240325
9.64E10                   -2.287492652400352
9.65E10                   -2.304632565227733
9.66E10                   -2.320252594309687
9.67E10                   -2.334283264227807
9.68E10                   -2.3466778340917025
9.69E10                   -2.357413196006542
9.7E10                    -2.36649044866852

9.2E10                    -6.896381765970262
9.21E10                   -7.25616344341856
9.22E10                   -7.560220971179556
9.23E10                   -7.820587169402957
9.24E10                   -8.053050180567434
9.25E10                   -8.274380755985806
9.26E10                   -8.500401184326511
9.27E10                   -8.745018811383911
9.28E10                   -9.020006287940184
9.29E10                   -9.335226034828489
9.3E10                    -9.699056163301234
9.31E10                   -10.118871707486095
9.32E10                   -10.601515001001529
9.33E10                   -11.1537397605204
9.34E10                   -11.782639494489972
9.35E10                   -12.496078845909972
9.36E10                   -13.303137395536362
9.37E10                   -14.214537420609608
9.38E10                   -15.242918044651876
9.39E10                   -16.402515470422777
9.4E10                    -17.70696475913439
9.41E10                   -19.161600708568727
9.42E10                   -20.740614659482457
9.43E10                   -22.328495564966552
9.44E10                   -23.61722370828632
9.45E10                   -24.116017587604787
9.46E10                   -23.589728324039363
9.47E10                   -22.37899428741292
9.48E10                   -20.951755890974436
9.49E10                   -19.56176842558088
9.5E10                    -18.293987047685768
9.51E10                   -17.161297903489796
9.52E10                   -16.152985006529207
9.53E10                   -15.252907132895588
9.54E10                   -14.445482413674233
9.55E10                   -13.717318011882874
9.56E10                   -13.057375246082575
9.57E10                   -12.456692753758444
9.58E10                   -11.908020609147735
9.59E10                   -11.405479729913452
9.6E10                    -10.944276467339876
9.61E10                   -10.520473473998589
9.62E10                   -10.130809283176712
9.63E10                   -9.77255751023218
9.64E10                   -9.443417397052377
9.65E10                   -9.141428817143376
9.66E10                   -8.864906236246012
9.67E10                   -8.61238730369237
9.68E10                   -8.382592708010657
9.69E10                   -8.174394690452276
9.7E10                    -7.986792207154072

9.2E10                    -9.984605786480081
9.21E10                   -10.204681752871076
9.22E10                   -10.457811530931664
9.23E10                   -10.741271424617064
9.24E10                   -11.052984022685235
9.25E10                   -11.391549772245247
9.26E10                   -11.756220666149815
9.27E10                   -12.146830931896535
9.28E10                   -12.563695612397485
9.29E10                   -13.007482915902994
9.3E10                    -13.479060889831047
9.31E10                   -13.979313428212466
9.32E10                   -14.508914563965707
9.33E10                   -15.068043053588768
9.34E10                   -15.6560114329704
9.35E10                   -16.2707762422561
9.36E10                   -16.908293158503383
9.37E10                   -17.56169251395593
9.38E10                   -18.22029756638717
9.39E10                   -18.868622764455317
9.4E10                    -19.48570504847935
9.41E10                   -20.04541862659636
9.42E10                   -20.518622371703394
9.43E10                   -20.877674231126772
9.44E10                   -21.10263564596812
9.45E10                   -21.186806296417316
9.46E10                   -21.138667842538197
9.47E10                   -20.97907942602552
9.48E10                   -20.73539909260702
9.49E10                   -20.43551365829956
9.5E10                    -20.103825901665093
9.51E10                   -19.759561473681114
9.52E10                   -19.41673103398195
9.53E10                   -19.08491159901802
9.54E10                   -18.770256042336378
9.55E10                   -18.476428607895592
9.56E10                   -18.20535908865534
9.57E10                   -17.95780714371826
9.58E10                   -17.733766376874158
9.59E10                   -17.532745834340908
9.6E10                    -17.35396257709551
9.61E10                   -17.1964716908311
9.62E10                   -17.05925306493876
9.63E10                   -16.941268598622
9.64E10                   -16.84149927092118
9.65E10                   -16.758968503712207
9.66E10                   -16.692756155902654
9.67E10                   -16.642006054810828
9.68E10                   -16.6059289978166
9.69E10                   -16.583802499816652
9.7E10                    -16.574968118510863
