% Model:              quadripolo.mph
% Version:            COMSOL 5.5.0.292
% Date:               May 1 2020, 09:26
% Dimension:          1
% Nodes:              153
% Expressions:        1
% Description:        Global
% x                       Height
9.2E10                    -5.881548755125118
9.21E10                   -5.1770763716598065
9.22E10                   -4.664731918038351
9.23E10                   -4.2721735925100095
9.24E10                   -3.9572614263262436
9.25E10                   -3.6944606472594095
9.26E10                   -3.4678461792581388
9.27E10                   -3.2673045092253727
9.28E10                   -3.086371685071782
9.29E10                   -2.920947889013891
9.3E10                    -2.768500594374497
9.31E10                   -2.6275497832457404
9.32E10                   -2.4973214871839606
9.33E10                   -2.377505349326015
9.34E10                   -2.2680792236605174
9.35E10                   -2.1691793664855337
9.36E10                   -2.0810037539933846
9.37E10                   -2.003741209363964
9.38E10                   -1.9375218430481036
9.39E10                   -1.8823856869986157
9.4E10                    -1.8382669119800974
9.41E10                   -1.8049910619463678
9.42E10                   -1.7822826152696494
9.43E10                   -1.7697800922033489
9.44E10                   -1.7670559889729922
9.45E10                   -1.7736390721242026
9.46E10                   -1.789036992227662
9.47E10                   -1.812757715190495
9.48E10                   -1.8443288487292029
9.49E10                   -1.8833144923750353
9.5E10                    -1.9293297107853415
9.51E10                   -1.9820530941188794
9.52E10                   -2.041238119667963
9.53E10                   -2.1067241766471687
9.54E10                   -2.178448182368069
9.55E10                   -2.2564577286940426
9.56E10                   -2.34092667776693
9.57E10                   -2.4321740965207397
9.58E10                   -2.5306873950812507
9.59E10                   -2.6371505218190574
9.6E10                    -2.7524780660841737
9.61E10                   -2.8778561179030904
9.62E10                   -3.014790711911507
9.63E10                   -3.1651646106885107
9.64E10                   -3.3313030226952076
9.65E10                   -3.5160485624337174
9.66E10                   -3.722845317165975
9.67E10                   -3.955831298033102
9.68E10                   -4.219937928019411
9.69E10                   -4.52099483591491
9.7E10                    -4.865838665143791

9.2E10                    -5.95812693821365
9.21E10                   -7.18033798927505
9.22E10                   -8.33955693105233
9.23E10                   -9.42999703659154
9.24E10                   -10.4529099813978
9.25E10                   -11.4134273970762
9.26E10                   -12.3188719130914
9.27E10                   -13.1778054843480
9.28E10                   -13.9994402433379
9.29E10                   -14.7932331581971
9.3E10                    -15.5685824637769
9.31E10                   -16.3345860494755
9.32E10                   -17.0998361659403
9.33E10                   -17.8722250622272
9.34E10                   -18.6587289279661
9.35E10                   -19.4651245345775
9.36E10                   -20.2955734104621
9.37E10                   -21.1519811156530
9.38E10                   -22.0330070649211
9.39E10                   -22.9325803686911
9.4E10                    -23.8378225752369
9.41E10                   -24.7265145849398
9.42E10                   -25.5648832567622
9.43E10                   -26.3076471918629
9.44E10                   -26.9033389229866
9.45E10                   -27.3067649900223
9.46E10                   -26.9189703743665
9.47E10                   -26.3248319633712
9.48E10                   -25.5607145445438
9.49E10                   -24.6757909746267
9.5E10                    -23.7174183579390
9.51E10                   -22.7230857796707
9.52E10                   -21.7187383824947
9.53E10                   -20.7204861574161
9.54E10                   -19.7372368684115
9.55E10                   -18.7730704083256
9.56E10                   -17.8290237188544
9.57E10                   -16.9043228746106
9.58E10                   -15.9971990542288
9.59E10                   -15.1054204129208
9.6E10                    -14.2266396816539
9.61E10                   -13.3586257066086
9.62E10                   -12.4994231416720
9.63E10                   -11.6474679648322
9.64E10                   -10.8016755127175
9.65E10                   -9.96151044979008
9.66E10                   -9.12704308104011
9.67E10                   -8.29899268526625
9.68E10                   -7.47875545391140
9.69E10                   -6.66841184623047
9.7E10                    -5.87070571859893

9.2E10                    -5.99607075052547
9.21E10                   -6.45085287647478
9.22E10                   -6.92117539216466
9.23E10                   -7.39791239777062
9.24E10                   -7.87890696421316
9.25E10                   -8.36559885610426
9.26E10                   -8.86131557578632
9.27E10                   -9.37042387267488
9.28E10                   -9.89792400625939
9.29E10                   -10.4492746601283
9.3E10                    -11.0303421490586
9.31E10                   -11.6474217034975
9.32E10                   -12.3073064362382
9.33E10                   -13.0173933109608
9.34E10                   -13.7858198426864
9.35E10                   -14.6216197097434
9.36E10                   -15.5348622892877
9.37E10                   -16.5366785618697
9.38E10                   -17.6389182997881
9.39E10                   -18.8527918196619
9.4E10                    -20.1848871601227
9.41E10                   -21.6267114737384
9.42E10                   -23.1296667268471
9.43E10                   -24.5555642634817
9.44E10                   -25.6249519872451
9.45E10                   -26.0000000000000
9.46E10                   -25.3541473940254
9.47E10                   -24.1849778596370
9.48E10                   -22.8227024269444
9.49E10                   -21.4658938902898
9.5E10                    -20.1952195058705
9.51E10                   -19.0317742720014
9.52E10                   -17.9727089178337
9.53E10                   -17.0071529177242
9.54E10                   -16.1225323802217
9.55E10                   -15.3068646762822
9.56E10                   -14.5494609026139
9.57E10                   -13.8410270539473
9.58E10                   -13.1735596112498
9.59E10                   -12.5401909602014
9.6E10                    -11.9350432084574
9.61E10                   -11.3531100147515
9.62E10                   -10.7901705874481
9.63E10                   -10.2427340580470
9.64E10                   -9.70801018435945
9.65E10                   -9.18390133679573
9.66E10                   -8.66900991888957
9.67E10                   -8.16265433245548
9.68E10                   -7.66488519054066
9.69E10                   -7.17649179863003
9.7E10                    -6.69898728690794
