% Model:              quadripolo.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 2 2020, 16:01
% Dimension:          1
% Nodes:              153
% Expressions:        1
% Description:        Global
% x                       Height
9.2E10                    -6.331433365553122
9.21E10                   -6.794586139155525
9.22E10                   -7.1894961335919785
9.23E10                   -7.530915037229803
9.24E10                   -7.837417645046418
9.25E10                   -8.12735811662039
9.26E10                   -8.417028559838753
9.27E10                   -8.720189924282751
9.28E10                   -9.048291653821147
9.29E10                   -9.410956073122819
9.3E10                    -9.816514722738475
9.31E10                   -10.272515472363724
9.32E10                   -10.786189656209013
9.33E10                   -11.364902946641294
9.34E10                   -12.016630704180349
9.35E10                   -12.75050873805097
9.36E10                   -13.577517840618412
9.37E10                   -14.511360925977122
9.38E10                   -15.569560477297113
9.39E10                   -16.555555555555555
9.4E10                    -17.685035569567886
9.41E10                   -19.187747157790447
9.42E10                   -20.952441183685615
9.43E10                   -22.896672388544566
9.44E10                   -24.76326528906351
9.45E10                   -25.7906467180685
9.46E10                   -24.76326528906351
9.47E10                   -22.896672388544566
9.48E10                   -20.952441183685615
9.49E10                   -19.187747157790447
9.5E10                    -17.635035569567886
9.51E10                   -16.269498955170683
9.52E10                   -15.0590725003591
9.53E10                   -13.976057023792638
9.54E10                   -12.998605000958733
9.55E10                   -12.109877867737001
9.56E10                   -11.296901459561068
9.57E10                   -10.549592128606417
9.58E10                   -9.860016906704486
9.59E10                   -9.221853765278112
9.6E10                    -8.630004610518917
9.61E10                   -8.080320600857798
9.62E10                   -7.569409219415876
9.63E10                   -7.094500962694299
9.64E10                   -6.653359882295668
9.65E10                   -6.244226815245416
9.66E10                   -5.865787362153524
9.67E10                   -5.5171588474944935
9.68E10                   -5.197891842872507
9.69E10                   -4.9079824782603625
9.7E10                    -4.64789176155634
9.2E10                    -6.331433365553122
9.21E10                   -6.794586139155525
9.22E10                   -7.1894961335919785
9.23E10                   -7.530915037229803
9.24E10                   -7.837417645046418
9.25E10                   -8.12735811662039
9.26E10                   -8.417028559838753
9.27E10                   -8.720189924282751
9.28E10                   -9.048291653821147
9.29E10                   -9.410956073122819
9.3E10                    -9.816514722738475
9.31E10                   -10.272515472363724
9.32E10                   -10.786189656209013
9.33E10                   -11.364902946641294
9.34E10                   -12.016630704180349
9.35E10                   -12.75050873805097
9.36E10                   -13.577517840618412
9.37E10                   -14.511360925977122
9.38E10                   -15.569560477297113
9.39E10                   -16.555555555555555
9.4E10                    -17.685035569567886
9.41E10                   -19.187747157790447
9.42E10                   -20.952441183685615
9.43E10                   -22.896672388544566
9.44E10                   -24.76326528906351
9.45E10                   -25.7906467180685
9.46E10                   -24.76326528906351
9.47E10                   -22.896672388544566
9.48E10                   -20.952441183685615
9.49E10                   -19.187747157790447
9.5E10                    -17.635035569567886
9.51E10                   -16.269498955170683
9.52E10                   -15.0590725003591
9.53E10                   -13.976057023792638
9.54E10                   -12.998605000958733
9.55E10                   -12.109877867737001
9.56E10                   -11.296901459561068
9.57E10                   -10.549592128606417
9.58E10                   -9.860016906704486
9.59E10                   -9.221853765278112
9.6E10                    -8.630004610518917
9.61E10                   -8.080320600857798
9.62E10                   -7.569409219415876
9.63E10                   -7.094500962694299
9.64E10                   -6.653359882295668
9.65E10                   -6.244226815245416
9.66E10                   -5.865787362153524
9.67E10                   -5.5171588474944935
9.68E10                   -5.197891842872507
9.69E10                   -4.9079824782603625
9.7E10                    -4.64789176155634
9.2E10                    -6.901655493762902
9.21E10                   -6.275805406907563
9.22E10                   -5.711028394358947
9.23E10                   -5.213262890698298
9.24E10                   -4.775868495411893
9.25E10                   -4.389552835386154
9.26E10                   -4.045793582554188
9.27E10                   -3.7377298179262644
9.28E10                   -3.460161606744025
9.29E10                   -3.2092828622507286
9.3E10                    -2.982371548565841
9.31E10                   -2.7775093895354015
9.32E10                   -2.593348297510678
9.33E10                   -2.428922601764887
9.34E10                   -2.2835014974230767
9.35E10                   -2.1564759589890965
9.36E10                   -2.047275275515382
9.37E10                   -1.9553091831037217
9.38E10                   -1.87993199287442
9.39E10                   -1.8204251869366996
9.4E10                    -1.7759948509711456
9.41E10                   -1.7457802119788954
9.42E10                   -1.7288695921654054
9.43E10                   -1.7243203456240015
9.44E10                   -1.731179815475442
9.45E10                   -1.7485049840774307
9.46E10                   -1.7753792069492311
9.47E10                   -1.8109251357325973
9.48E10                   -1.8543135734067362
9.49E10                   -1.904768516062736
9.5E10                    -1.9615689958580949
9.51E10                   -2.0240485484562774
9.52E10                   -2.091593201684943
9.53E10                   -2.163638847246982
9.54E10                   -2.239668745564132
9.55E10                   -2.3192117564986834
9.56E10                   -2.401841713475304
9.57E10                   -2.487178187447939
9.58E10                   -2.5748887354563275
9.59E10                   -2.6646926043768895
9.6E10                    -2.7563657652078097
9.61E10                   -2.849747081971881
9.62E10                   -2.9447453616263983
9.63E10                   -3.0413469719271373
9.64E10                   -3.139623633077544
9.65E10                   -3.239739861845184
9.66E10                   -3.3419593448681417
9.67E10                   -3.4466492086391503
9.68E10                   -3.5542807036252864
9.69E10                   -3.6654242015211453
9.7E10                    -3.78073561089601
